      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 21   21:36:53  18711      0          -      -      -
 14   12:09:25  29978      0   20:26:01  29017      0
 13   12:14:33  27193      0   12:21:29  26188      0
 12   09:41:10  21015      0   10:02:31  18969      0
 11   20:49:14  34687      0   20:59:29  34469      0
 10   12:26:41  35827      0   12:48:00  34033      0
  9   13:04:05  39812      0       >24h  43783      0
  8   18:57:30  51087      0   20:03:50  38765      0
  7   09:36:24  42155      0   10:01:06  40469      0
  6   08:50:55  37633      0   11:21:43  35801      0
  5   20:13:28  49262      0   21:10:55  46777      0
  4   14:34:53  41758      0   14:58:09  38630      0
  3   07:38:13  52221      0   11:19:44  44546      0
  2   09:28:11  63960      0   09:37:57  60611      0
  1   12:30:23  69634      0   13:40:16  65033      0
